state	lat	lon
Alabama	32°22′40″N	 86°18′2″W
Alaska	58°18′7.9″N	134°24′37.7″W
Arizona	33°26′53″N	112°5′47″W
Arkansas	34°44′48.26″N	92°17′21.2″W
California	41°45′50.89″N	72°40′58″W
Colorado	39°44′21″N	104°59′05″W
Connecticut	41°45′50.89″N	72°40′58″W
Delaware	39.157307°N 	75.519722°W
Florida	"30°26'16.9""N "	"84°16'55.1""W"
Georgia	33.7490°N	84.3881°W
Hawaii	"21°18'26.0""N "	"157°51'26.8""W"
Idaho	43.617698°N 	116.199613°W
Illinois	39°47′54″N	89°39′16″W
Indiana	39°46′7.54″N	86°9′45.54″W
Iowa	41°35′28.2″N	93°36′13.9″W
Kansas	39°2′53″N	95°40′41″W
Kentucky	38.1867°N 	84.8753°W
Louisiana	30°27′25″N	91°11′14″W
Maine	"44°18'25.8""N "	"69°46'54.5""W"
Maryland	38°58′43″N	76°29′28″W
Massachusetts	42°21′29.4″N	71°3′49.3″W
Michigan	42.733601°N 	84.555470°W
Minnesota	44°57′19″N	93°6′8″W
Mississippi	32°18′14″N	90°10′56″W
Missouri	38°34′45″N 	92°10′22″W
Montana	"46°35'08.7""N "	"112°01'06.3""W"
Nebraska	40°48′29.1636″N	96°41′58.5420″W
Nevada	39°9′50.67″N	119°45′58.65″W
New Hampshire	"43°12'24.9""N "	"71°32'17.3""W"
New Jersey	40°13′14″N	74°46′12″W
New Mexico	"35°40'56.1""N "	"105°56'22.6""W"
New York	"42°39'09.6""N "	"73°45'26.7""W"
North Carolina	35°46′49.3″N	78°38′20.8″W
North Dakota	"46°49'15.0""N "	"100°46'57.7""W"
Ohio	39°57′41″N	82°59′56″W
Oklahoma	35°29′32″N	97°30′11″W
Oregon	44°56′18″N	123°01′49″W
Pennsylvania	40°15′52″N	76°53′01″W
Rhode Island	41°49′51″N	71°24′54″W
South Carolina	34°0′1.56″N	81°1′59.33″W
South Dakota	"44°22'01.5""N "	"100°20'46.9""W"
Tennessee	36°9′57″N	86°47′3″W
Texas	30°16′29″N	97°44′26″W
Utah	40°46′38″N	111°53′17″W
Vermont	44°15′44″N	72°34′51″W
Virginia	"37°32'19.6""N "	"77°26'01.1""W"
Washington	47°02′09″N	122°54′17″W
West Virginia	8°20′10″N	81°36′43″W
Wisconsin	43°4′28″N	89°23′5″W
Wyoming	41°8′25″N	104°49′11″W
